latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.99722,-37.427,310.16,3.43,1.74,2022-02-26,0020,T,70,6.1NRT,272.01,64.94,N
-10.11953,-36.47235,338.48,3.45,1.75,2022-02-26,0020,T,100,6.1NRT,291.24,242.28,N
-10.12159,-36.44695,306.15,3.43,1.74,2022-02-26,0020,T,42,6.1NRT,290.77,34.78,N
-10.12543,-36.47807,325.48,3.45,1.75,2022-02-26,0020,T,100,6.1NRT,291.34,134.07,N
-7.56154,-35.06624,319.62,2.45,1.51,2022-02-26,0020,T,99,6.1NRT,291.89,58.94,N
-7.55108,-35.05212,306.41,2.44,1.51,2022-02-26,0020,T,68,6.1NRT,291.78,21.6,N
-7.55395,-35.07401,310.89,2.45,1.51,2022-02-26,0020,T,81,6.1NRT,291.59,33.1,N
10.05183,30.14472,301.08,1.92,1.35,2022-02-26,0005,A,37,6.1NRT,288.54,11.8,N
10.04897,30.16196,303.18,1.93,1.36,2022-02-26,0005,A,54,6.1NRT,289.47,14.54,N
10.89194,23.29226,302.48,1.05,1.02,2022-02-26,0005,A,49,6.1NRT,292.42,4.96,N
10.89056,23.30175,312.16,1.05,1.02,2022-02-26,0005,A,84,6.1NRT,292.91,11.93,N
10.5331,23.79214,309.01,1.02,1.01,2022-02-26,0005,A,76,6.1NRT,292.77,8.98,N
10.5241,23.79082,303.26,1.02,1.01,2022-02-26,0005,A,46,6.1NRT,292.2,4.92,N
10.58911,23.27842,310.77,1.05,1.02,2022-02-26,0005,A,81,6.1NRT,292.02,11.41,N
9.83709,26.88857,303.81,1.17,1.08,2022-02-26,0005,A,57,6.1NRT,290.44,7.42,N
9.83546,26.89907,307.18,1.17,1.08,2022-02-26,0005,A,71,6.1NRT,290.48,10.16,N
9.25085,27.10015,307.63,1.22,1.1,2022-02-26,0005,A,72,6.1NRT,290.68,11.21,N
9.24915,27.1111,310.28,1.22,1.1,2022-02-26,0005,A,80,6.1NRT,290.99,13.72,N
9.20742,26.79002,305.05,1.17,1.08,2022-02-26,0005,A,63,6.1NRT,292.36,7.78,N
9.08823,26.89635,307.94,1.19,1.09,2022-02-26,0005,A,73,6.1NRT,287.68,12.42,N
7.94741,33.68535,306.55,3.97,1.85,2022-02-26,0005,A,68,6.1NRT,271.32,76.53,N
8.99971,26.87587,304.27,1.19,1.09,2022-02-26,0005,A,59,6.1NRT,285.34,9.59,N
7.65089,33.91303,303.9,4.19,1.9,2022-02-26,0005,A,57,6.1NRT,276.68,62.48,N
7.64655,33.9076,305.72,4.19,1.9,2022-02-26,0005,A,65,6.1NRT,277.23,71.4,N
8.38551,28.85431,304.28,1.64,1.26,2022-02-26,0005,A,59,6.1NRT,286.82,13.43,N
9.1941,23.50442,302.27,1.02,1.01,2022-02-26,0005,A,48,6.1NRT,291.73,4.45,N
8.38484,28.86233,301.3,1.65,1.26,2022-02-26,0005,A,40,6.1NRT,286.47,10.82,N
9.21631,22.96841,300.42,1.05,1.02,2022-02-26,0005,A,24,6.1NRT,289.58,4.42,N
8.94301,24.45616,318.52,1,1,2022-02-26,0005,A,97,6.1NRT,293.49,17.06,N
7.53943,33.15884,302.09,3.68,1.8,2022-02-26,0005,A,47,6.1NRT,282.24,35.34,N
8.89572,24.46741,311.88,1,1,2022-02-26,0005,A,84,6.1NRT,290.96,10.81,N
7.5321,33.1503,301.77,3.68,1.8,2022-02-26,0005,A,29,6.1NRT,283.19,31.01,N
8.21367,22.12201,301.66,1.1,1.05,2022-02-26,0005,A,33,6.1NRT,290.11,6.14,N
8.05039,23.26421,305.09,1.02,1.01,2022-02-26,0005,A,59,6.1NRT,289.84,6.68,N
